epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79564,1.1953,3.81369,1.14398,0,0,0,0,0.97139,3.37484,0.96993,0,0,0
2,4.36078,1.16943,3.63365,1.18327,0.00171,0.01471,4e-05,1e-05,0.96946,3.37563,0.97048,1.63399e-05,1.63399e-05,1.63399e-05
3,5.36576,1.15712,3.54903,1.14977,0,0,0,0,0.95422,3.36536,0.96236,3.20197e-05,3.20197e-05,3.20197e-05
4,6.34992,1.11105,3.66352,1.06515,0,0,0,0,0.93678,3.35753,0.95252,4.70394e-05,4.70394e-05,4.70394e-05
5,7.11824,1.10027,3.61664,1.11916,0.00334,0.03256,0.00017,4e-05,0.93993,3.34067,0.94757,6.13989e-05,6.13989e-05,6.13989e-05
6,7.87196,1.07334,3.38748,1.0604,0.01668,0.16282,0.00266,0.00106,0.9437,3.32473,0.94132,7.50984e-05,7.50984e-05,7.50984e-05
7,8.58176,1.10019,3.37428,1.07562,0.01987,0.19853,0.00444,0.00196,0.94864,3.30384,0.93771,8.81376e-05,8.81376e-05,8.81376e-05
8,9.21612,1.06871,3.22396,1.03259,0.00472,0.05357,0.00168,0.00044,0.96117,3.28714,0.93681,0.000100517,0.000100517,0.000100517
9,9.93185,1.13927,3.34457,0.9865,0.01003,0.09769,0.00594,0.00095,0.9577,3.2738,0.93724,0.000112236,0.000112236,0.000112236
10,10.6247,1.07783,2.93588,1.03501,0.01496,0.14811,0.04225,0.01673,0.97428,3.255,0.94686,0.000123295,0.000123295,0.000123295
11,11.2274,1.10856,3.01096,1.02384,0.02601,0.26996,0.10329,0.03735,0.96618,3.23346,0.94529,0.000133693,0.000133693,0.000133693
12,11.9128,1.08921,2.91715,0.98411,0.02937,0.30252,0.17138,0.08213,0.98696,3.19876,0.9481,0.000143432,0.000143432,0.000143432
13,12.6657,1.12135,2.66019,1.00055,0.03954,0.40021,0.22391,0.12283,0.99675,3.15626,0.94856,0.00015251,0.00015251,0.00015251
14,13.8416,1.07157,2.63055,0.97072,0.04981,0.49475,0.27319,0.15333,1.00775,3.1159,0.94523,0.000160929,0.000160929,0.000160929
15,14.816,1.09674,2.47554,0.97226,0.05663,0.55672,0.31501,0.18883,1.02163,3.0626,0.94601,0.000168687,0.000168687,0.000168687
16,15.9572,1.1485,2.16938,1.03101,0.06663,0.65756,0.35074,0.22761,1.03478,2.98076,0.93636,0.000175785,0.000175785,0.000175785
17,17.1168,1.10053,2.17533,0.95536,0.08168,0.80252,0.42633,0.27407,1.04877,2.89627,0.93645,0.000182223,0.000182223,0.000182223
18,18.2593,1.08031,2.04032,0.98494,0.08168,0.80252,0.42633,0.27407,1.04877,2.89627,0.93645,0.000188001,0.000188001,0.000188001
19,18.979,1.12525,2.00205,1.02196,0.09,0.8792,0.47612,0.31364,1.05047,2.80338,0.9305,0.000193119,0.000193119,0.000193119
20,19.6637,1.12249,1.8583,0.96646,0.09,0.8792,0.47612,0.31364,1.05047,2.80338,0.9305,0.000197576,0.000197576,0.000197576
21,20.3222,1.07959,1.96167,1.00438,0.09167,0.89706,0.4964,0.32815,1.06231,2.7324,0.92542,0.000201374,0.000201374,0.000201374
22,21.0433,1.09865,1.70627,1.04563,0.09167,0.89706,0.4964,0.32815,1.06231,2.7324,0.92542,0.000204511,0.000204511,0.000204511
